price,bedrooms,bathrooms,floors,view,sqm_living15,sqm_lot15,sqm_outdoor15,lot_living_ratio15,waterfront,condition,grade,renovated,yr_built,age_of_house,city,area_code,zipcode,dist_from_center,lat,long
221900.0,3,1,1,0,14423.646168584435,60816.12003918065,46392.473870596215,4.2164179104477615,0,3,7,1,1955,69,Seattle,206,98178,11.95,47.5112,-122.257
538000.0,3,2,2,0,18191.016436498285,82225.54707598248,64034.5306394842,4.520118343195266,0,3,7,1,1951,73,Seattle,206,98125,12.82,47.721,-122.319
180000.0,2,1,1,0,29277.84893921617,86778.68314263264,57500.83420341647,2.9639705882352945,0,3,6,1,1933,91,Kenmore,206,98028,16.43,47.7379,-122.233
604000.0,4,3,1,0,14638.924469608086,53819.57525591208,39180.650786303995,3.676470588235294,0,5,7,1,1965,59,Seattle,206,98136,10.52,47.5208,-122.393
510000.0,3,2,1,0,19375.04709212835,80761.65462902166,61386.607536893316,4.168333333333333,0,3,8,1,1987,37,Sammamish,425,98074,21.55,47.6168,-122.045
1225000.0,4,4,1,0,51236.2356436283,1097165.8611670237,1045929.6255233954,21.41386554621849,0,3,11,1,2001,23,Redmond,425,98053,25.13,47.6561,-122.005
257500.0,3,2,2,0,24089.641884546247,73399.13673401289,49309.494849466646,3.046916890080429,0,3,7,1,1995,29,Federal Way,253,98003,32.95,47.3097,-122.327
291850.0,3,1,1,0,17760.459834450987,104528.37906203244,86767.91922758146,5.885454545454546,0,3,7,1,1963,61,Seattle,206,98198,21.89,47.4095,-122.315
229500.0,3,1,1,0,19159.7687911047,87327.64281024295,68167.87401913825,4.557865168539326,0,3,7,1,1960,64,Seattle,206,98146,10.43,47.5123,-122.337
323000.0,3,2,2,0,25725.756972325973,81482.83693745089,55757.07996512492,3.167364016736402,0,3,7,1,2003,21,Maple Valley,253,98038,34.78,47.3684,-122.031
662500.0,3,2,1,0,23788.25226311314,96067.94183180308,72279.68956868994,4.038461538461539,0,3,8,1,1965,59,Bellevue,425,98007,14.03,47.6007,-122.145
468000.0,2,1,1,0,14316.007018072614,64583.4903070945,50267.48328902188,4.511278195488722,0,4,7,1,1942,82,Seattle,206,98115,9.81,47.69,-122.292
310000.0,3,1,1,0,19159.7687911047,136669.42940486313,117509.66061375843,7.13314606741573,0,4,7,1,1927,97,Kenmore,206,98028,18.36,47.7558,-122.229
400000.0,3,1,1,0,14746.56362011991,109878.0448424701,95131.4812223502,7.451094890510949,0,4,7,1,1977,47,Sammamish,425,98074,21.53,47.6127,-122.045
530000.0,5,2,1,0,14638.924469608086,52204.98799823472,37566.06352862663,3.5661764705882355,0,3,7,1,1900,124,Seattle,206,98107,8.5,47.67,-122.394
650000.0,4,3,2,3,23034.77820953037,43055.66020472966,20020.881995199292,1.8691588785046729,0,3,9,1,1979,45,Seattle,206,98126,5.02,47.5714,-122.375
395000.0,3,2,2,0,20343.799446734767,150888.5611874751,130544.76174074033,7.416931216931216,0,3,7,1,1994,30,Duvall,360,98019,30.83,47.7277,-121.962
485000.0,4,1,1,0,17329.90323240369,46284.83472008439,28954.931487680704,2.6708074534161494,0,4,7,1,1916,108,Seattle,206,98103,6.59,47.6648,-122.343
189000.0,2,1,1,0,11409.74995425336,54842.14718577441,43432.39723152105,4.806603773584906,0,4,7,1,1921,103,Auburn,253,98002,34.29,47.3089,-122.21
230000.0,3,1,1,0,13777.811265513492,95260.64820296438,81482.83693745089,6.9140625,0,4,7,1,1969,55,Federal Way,253,98003,30.27,47.3343,-122.306
385000.0,4,1,1,0,15069.481071655382,53604.29695488844,38534.81588323306,3.557142857142858,0,4,7,1,1947,77,Seattle,206,98133,10.75,47.7025,-122.341
2000000.0,3,2,1,4,44239.69086035973,218894.9764808456,174655.28562048587,4.947931873479318,0,3,9,1,1968,56,Mercer Island,206,98040,11.12,47.5316,-122.233
285000.0,5,2,2,0,24111.16971464861,75401.22493353282,51290.05521888421,3.127232142857143,0,3,8,1,1995,29,Auburn,253,98092,33.4,47.3266,-122.169
252700.0,2,1,1,0,13131.976362442549,90266.19161921574,77134.21525677318,6.873770491803278,0,3,7,1,1985,39,Kent,253,98030,30.74,47.3533,-122.166
329000.0,3,2,2,0,23680.61311260132,73894.27682636729,50213.66371376597,3.120454545454545,0,4,8,1,1985,39,Kent,253,98030,28.47,47.3739,-122.172
233000.0,3,2,1,0,11086.832502717887,50644.22031581327,39557.38781309538,4.567961165048544,0,5,6,1,1941,83,Auburn,253,98002,34.57,47.3048,-122.218
937000.0,3,1,2,0,18944.49049008105,38459.468477874776,19514.977987793725,2.0301136363636365,0,3,8,1,1915,109,Seattle,206,98119,4.19,47.6386,-122.36
667000.0,3,1,1,0,20020.881995199292,41559.476012615305,21538.594017416013,2.075806451612903,0,5,8,1,1909,115,Seattle,206,98112,2.24,47.6221,-122.314
438000.0,3,1,1,0,16361.150877797272,67113.01034412236,50751.85946632509,4.1019736842105265,0,3,7,1,1948,76,Seattle,206,98115,10.12,47.695,-122.304
719000.0,4,2,2,0,28309.096584609757,64863.35209842524,36554.255513815486,2.2912547528517107,0,3,8,1,2005,19,Redmond,425,98052,20.08,47.7073,-122.11
580500.0,3,2,2,0,27770.900832050636,42840.38190370602,15069.48107165538,1.5426356589147285,0,3,8,1,2003,21,Issaquah,425,98027,21.02,47.5391,-122.07
280000.0,2,1,3,0,14961.841921143558,18901.43482987632,3939.592908732764,1.2633093525179857,0,3,7,1,2005,19,Seattle,206,98133,13.63,47.7274,-122.357
687500.0,4,1,1,0,15715.315974726327,53819.57525591208,38104.259281185754,3.4246575342465753,0,4,7,1,1929,95,Seattle,206,98117,8.9,47.6823,-122.368
535000.0,3,1,1,0,16899.346630356395,54680.68846000668,37781.34182965028,3.235668789808917,0,4,8,1,1929,95,Seattle,206,98117,9.76,47.6889,-122.375
322500.0,4,2,1,0,21743.10840338848,93861.33924631069,72118.2308429222,4.316831683168318,0,3,7,1,1981,43,Renton,253,98058,23.8,47.4276,-122.157
696000.0,3,2,1,0,17114.62493138004,35133.418727059405,18018.793795679365,2.0528301886792453,0,3,8,1,1930,94,Seattle,206,98115,8.69,47.6827,-122.31
550000.0,4,1,1,0,23250.05651055402,123429.81389190877,100179.75738135475,5.308796296296296,0,1,5,1,1933,91,Redmond,425,98052,16.23,47.6621,-122.132
640000.0,4,2,2,0,18621.57303854558,50590.40074055736,31968.82770201178,2.716763005780347,0,4,8,1,1904,120,Seattle,206,98107,7.48,47.6702,-122.362
240000.0,4,1,1,0,13885.450416025316,83958.53739922284,70073.08698319753,6.046511627906977,0,2,7,1,1969,55,Auburn,253,98001,30.47,47.3341,-122.282
605000.0,4,2,2,0,28201.45743409793,127918.36646825184,99716.90903415391,4.53587786259542,0,3,8,1,1996,28,Renton,206,98056,14.19,47.5301,-122.18
